,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play
89,91.7,50.9,2023-04-22 00:33:40.747,0.018767547000000002,Saved,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Corner
90,108.3,25.8,2023-04-22 00:33:57.019,0.12550385,Off T,Lauren Hemp,Liverpool WFC,Left Foot,Lob,False,Open Play,,,,From Corner
91,109.6,28.6,2023-04-22 00:41:33.885,0.040843416,Blocked,Niamh Fahey,Liverpool WFC,Left Foot,Normal,False,Open Play,,,,From Corner
92,118.0,37.0,2023-04-22 00:43:16.136,0.66013825,Saved,Laura Coombs,Manchester City WFC,Other,Normal,False,Open Play,,,,From Corner
93,116.0,38.4,2023-04-22 00:47:09.173,0.23151219,Blocked,Rhiannon Roberts,Liverpool WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
94,107.0,52.0,2023-04-22 00:04:24.367,0.14778447,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Lob,True,Open Play,High Pass,,,From Corner
95,112.4,50.7,2023-04-22 00:08:03.728,0.1808416,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Low Pass,,,From Corner
96,94.9,53.6,2023-04-22 00:13:18.472,0.024425017,Blocked,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
97,117.2,33.1,2023-04-22 00:14:46.917,0.09012775,Off T,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
98,112.9,40.0,2023-04-22 00:18:21.443,0.43039507,Goal,Julie Blakstad,Manchester City WFC,Head,Diving Header,False,Open Play,High Pass,,,From Corner
99,80.2,33.3,2023-04-22 00:23:34.579,0.010788521,Off T,Julia Zigiotti-Olme,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
100,107.0,46.4,2023-04-22 00:24:43.927,0.09599867000000001,Blocked,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,True,Open Play,,,,From Corner
101,99.1,40.3,2023-04-22 00:25:21.525,0.10107688000000001,Goal,Laura Coombs,Manchester City WFC,Right Foot,Normal,True,Open Play,,,,From Corner
102,100.2,34.4,2023-04-22 00:29:24.410,0.061070110000000004,Blocked,Julie Blakstad,Manchester City WFC,Right Foot,Normal,False,Open Play,High Pass,,,From Corner
103,115.7,41.3,2023-04-22 00:30:09.943,0.16913483,Saved,Alex Greenwood,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
104,103.6,27.9,2023-04-22 00:40:17.883,0.06638711,Saved,Khadija Monifa Shaw,Brighton & Hove Albion WFC,Right Foot,Normal,False,Open Play,,,,From Corner
105,103.4,46.6,2023-04-22 00:46:44.336,0.075309634,Blocked,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,False,Open Play,High Pass,,,From Corner
106,112.0,32.9,2023-04-22 00:46:52.207,0.10498577,Saved,Laura Coombs,Manchester City WFC,Right Foot,Volley,True,Open Play,High Pass,,,From Corner
107,100.9,51.7,2023-04-22 00:47:04.586,0.040531754,Blocked,Chloe Kelly,Manchester City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
108,95.3,43.1,2023-04-22 00:00:11.839,0.06791741400000001,Off T,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
109,111.7,51.4,2023-04-22 00:01:46.082,0.14520097,Post,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,True,Open Play,Ground Pass,,,From Corner
110,91.9,38.9,2023-04-22 00:04:20.889,0.04632908,Blocked,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,False,Free Kick,,,,From Corner
111,108.1,41.3,2023-04-22 00:04:30.772,0.035869066000000005,Blocked,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
112,90.6,52.8,2023-04-22 00:05:28.129,0.022102820000000002,Saved,Jorja Fox,Brighton & Hove Albion WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
113,98.6,59.5,2023-04-22 00:08:57.178,0.012377231,Saved,Poppy Pattinson,Brighton & Hove Albion WFC,Left Foot,Normal,False,Open Play,,,,From Corner
114,106.7,42.2,2023-04-22 00:09:53.859,0.18307768,Off T,Ingrid Filippa Angeldal,Manchester City WFC,Right Foot,Normal,True,Open Play,Ground Pass,,,From Corner
115,113.3,42.8,2023-04-22 00:12:25.950,0.10986333000000001,Off T,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,,,,From Corner
116,101.4,33.9,2023-04-22 00:20:17.055,0.035716396000000004,Blocked,Megan Connolly,Brighton & Hove Albion WFC,Left Foot,Normal,True,Open Play,,,,From Corner
117,116.9,51.8,2023-04-22 00:20:47.059,0.0261008,Saved,Esme Beth Morgan,Manchester City WFC,Right Foot,Normal,True,Open Play,Ground Pass,,,From Corner
118,106.4,31.3,2023-04-22 00:21:27.365,0.053814795000000006,Blocked,Ingrid Filippa Angeldal,Manchester City WFC,Right Foot,Volley,True,Open Play,,,,From Corner
119,111.8,49.1,2023-04-22 00:21:42.306,0.15839791,Saved,Deyna Cristina Castellanos Naujenis,Manchester City WFC,Right Foot,Normal,True,Open Play,Ground Pass,,,From Corner
120,90.6,29.3,2023-04-22 00:23:41.257,0.020882018000000002,Off T,Julia Zigiotti-Olme,Brighton & Hove Albion WFC,Right Foot,Normal,False,Open Play,,,,From Corner
121,105.9,32.9,2023-04-22 00:26:06.633,0.07582791,Blocked,Danielle Carter,Brighton & Hove Albion WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
122,91.8,56.9,2023-04-22 00:27:14.584,0.008180827,Off T,Veatriki Sarri,Brighton & Hove Albion WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
123,111.6,39.8,2023-04-22 00:37:18.203,0.12165397400000001,Saved,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
124,105.6,52.6,2023-04-22 00:44:04.315,0.0742838,Wayward,Hayley Emma Raso,Manchester City WFC,Right Foot,Half Volley,True,Open Play,High Pass,,,From Corner
125,113.8,39.8,2023-04-22 00:44:05.309,0.5848210500000001,Off T,Julie Blakstad,Manchester City WFC,Left Foot,Half Volley,True,Open Play,,,,From Corner
126,111.3,45.9,2023-04-22 00:45:26.549,0.094873436,Blocked,Ingrid Filippa Angeldal,Manchester City WFC,Left Foot,Half Volley,True,Open Play,Low Pass,,,From Corner
127,99.4,48.3,2023-04-22 00:45:32.421,0.040386066000000005,Blocked,Esme Beth Morgan,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
128,111.8,43.0,2023-04-22 00:47:09.214,0.23023966,Post,Geum-Min Lee,Brighton & Hove Albion WFC,Right Foot,Volley,True,Open Play,High Pass,,,From Corner
129,117.1,41.1,2023-04-22 00:47:11.128,0.58453405,Goal,Geum-Min Lee,Brighton & Hove Albion WFC,Left Foot,Normal,True,Open Play,,,,From Corner
