,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,technique,first_touch,assist,state_of_play
64,0.0069538997,False,8,Taylor Hinds,Liverpool WFC,38.30013054808038,False,90.15,Right Foot,Ground,False,Unassisted,Open Play - Shot
65,0.06575786,False,13,Khadija Monifa Shaw,Manchester City WFC,12.114866899805385,True,109.78,Right Foot,Volley,True,Unassisted,Open Play - Shot
66,0.073138855,False,15,Khadija Monifa Shaw,Manchester City WFC,8.91852005660132,True,107.62,Head,Ground,False,High Pass,Open Play - Shot
67,0.012992693000000001,False,18,Missy Bo Kearns,Liverpool WFC,31.079253530289307,False,58.15,Right Foot,Ground,False,Unassisted,Open Play - Shot
68,0.35498062,True,20,Khadija Monifa Shaw,Manchester City WFC,10.511898020814321,True,55.86,Right Foot,Ground,True,Ground Pass,Open Play - Shot
69,0.044266917,False,23,Deyna Cristina Castellanos Naujenis,Manchester City WFC,20.518528212325567,False,104.1,Right Foot,Volley,True,Unassisted,Open Play - Shot
70,0.028208286000000003,False,27,Melissa Lawley,Liverpool WFC,30.616498820080647,False,100.54,Right Foot,Ground,False,Ground Pass,Open Play - Shot
71,0.03303851,False,28,Chloe Kelly,Liverpool WFC,23.800210083106407,False,126.63,Right Foot,Ground,False,Unassisted,Open Play - Shot
72,0.27074835,False,31,Missy Bo Kearns,Manchester City WFC,11.994165248152958,True,97.18,Right Foot,Ground,False,Unassisted,Open Play - Shot
73,0.3839586,True,32,Katie Stengel,Manchester City WFC,13.598897014096396,True,115.25,Right Foot,Ground,False,Unassisted,Open Play - Shot
74,0.6120355,False,33,Khadija Monifa Shaw,Manchester City WFC,4.317406628984584,True,76.61,Head,Ground,False,High Pass,Open Play - Shot
75,0.10605728,False,36,Niamh Fahey,Liverpool WFC,6.432728814430153,True,11.66,Head,Ground,False,High Pass,Open Play - Shot
76,0.020545864,False,38,Deyna Cristina Castellanos Naujenis,Manchester City WFC,26.62048083712989,False,105.92,Left Foot,Volley,True,Unassisted,Open Play - Shot
77,0.08623454,False,42,Emma Wilhelmina Koivisto,Liverpool WFC,14.949581933953874,True,146.74,Right Foot,Ground,True,High Pass,Open Play - Shot
78,0.14477825,False,43,Katie Stengel,Liverpool WFC,6.3568860301251275,True,109.29,Head,Ground,False,High Pass,Open Play - Shot
79,0.039370988,False,0,Lauren Hemp,Manchester City WFC,24.855784035109416,False,48.1,Left Foot,Ground,False,Unassisted,Open Play - Shot
80,0.06670216,False,4,Lauren Hemp,Manchester City WFC,16.560193235587562,True,37.15,Right Foot,Ground,False,High Pass,Open Play - Shot
81,0.061059684,False,10,Chloe Kelly,Manchester City WFC,8.809086218218095,True,129.47,Head,Ground,False,High Pass,Open Play - Shot
82,0.14556095,False,11,Khadija Monifa Shaw,Manchester City WFC,6.870953354520752,True,158.66,Head,Ground,False,High Pass,Open Play - Shot
83,0.06268983,False,19,Yui Hasegawa,Manchester City WFC,13.081666560496027,True,101.91,Right Foot,Ground,True,Ground Pass,Open Play - Shot
84,0.13095875,False,19,Lauren Hemp,Manchester City WFC,8.52349693494402,True,67.95,Head,Ground,False,Unassisted,Open Play - Shot
85,0.02360991,False,20,Deyna Cristina Castellanos Naujenis,Manchester City WFC,27.97320146139873,False,114.27,Right Foot,Ground,False,Ground Pass,Open Play - Shot
86,0.019093197000000003,False,24,Taylor Hinds,Liverpool WFC,34.09178786746157,False,85.79,Left Foot,Ground,False,Unassisted,Open Play - Shot
87,0.24590392,False,29,Hayley Emma Raso,Manchester City WFC,12.184005909387933,True,106.2,Right Foot,Ground,True,Ground Pass,Open Play - Shot
88,0.41224068,True,29,Hayley Emma Raso,Manchester City WFC,9.17877987534291,True,119.36,Right Foot,Volley,True,Unassisted,Open Play - Shot
89,0.018767547000000002,False,33,Deyna Cristina Castellanos Naujenis,Manchester City WFC,30.326556019436165,False,111.06,Right Foot,Volley,True,Low Pass,Open Play - Shot
90,0.12550385,False,33,Lauren Hemp,Liverpool WFC,18.399184764548675,True,39.49,Left Foot,Ground,False,Unassisted,Open Play - Shot
91,0.040843416,False,41,Niamh Fahey,Liverpool WFC,15.43113735276827,True,42.37,Left Foot,Ground,False,Unassisted,Open Play - Shot
92,0.66013825,False,43,Laura Coombs,Manchester City WFC,3.605551275463989,True,33.69,Other,Ground,False,Unassisted,Open Play - Shot
93,0.23151219,False,47,Rhiannon Roberts,Liverpool WFC,4.308131845707604,True,68.2,Head,Ground,False,High Pass,Open Play - Shot
94,0.14778447,False,4,Chloe Kelly,Manchester City WFC,17.69180601295413,True,132.71,Right Foot,Ground,True,High Pass,Open Play - Shot
95,0.1808416,False,8,Chloe Kelly,Manchester City WFC,13.124404748406686,True,144.61,Right Foot,Ground,False,Low Pass,Open Play - Shot
96,0.024425017,False,13,Khadija Monifa Shaw,Manchester City WFC,28.547679415322005,False,118.45,Left Foot,Ground,False,Ground Pass,Open Play - Shot
97,0.09012775,False,14,Khadija Monifa Shaw,Manchester City WFC,7.446475676452583,True,22.09,Head,Ground,False,High Pass,Open Play - Shot
98,0.43039507,True,18,Julie Blakstad,Manchester City WFC,7.099999999999994,True,90.0,Head,Volley,False,High Pass,Open Play - Shot
99,0.010788521,False,23,Julia Zigiotti-Olme,Manchester City WFC,40.36000495540108,False,80.44,Right Foot,Ground,False,Unassisted,Open Play - Shot
100,0.09599867000000001,False,24,Khadija Monifa Shaw,Manchester City WFC,14.489996549343964,True,116.21,Left Foot,Ground,True,Unassisted,Open Play - Shot
101,0.10107688000000001,True,25,Laura Coombs,Manchester City WFC,20.902152999152985,False,90.82,Right Foot,Ground,True,Unassisted,Open Play - Shot
102,0.061070110000000004,False,29,Julie Blakstad,Manchester City WFC,20.576685836159328,False,74.21,Right Foot,Ground,False,High Pass,Open Play - Shot
103,0.16913483,False,30,Alex Greenwood,Manchester City WFC,4.492215489043237,True,106.82,Head,Ground,False,High Pass,Open Play - Shot
104,0.06638711,False,40,Khadija Monifa Shaw,Brighton & Hove Albion WFC,20.380628057054576,True,53.58,Right Foot,Ground,False,Unassisted,Open Play - Shot
105,0.075309634,False,46,Deyna Cristina Castellanos Naujenis,Manchester City WFC,17.86393013869008,True,111.68,Right Foot,Ground,False,High Pass,Open Play - Shot
106,0.10498577,False,46,Laura Coombs,Manchester City WFC,10.696261028976435,True,48.41,Right Foot,Volley,True,High Pass,Open Play - Shot
